,text,created_date,latitude,longitude,retweet,polarity,pol_value
121,@TajinderBagga @rose_k01 @Uppolice How low these people can stoop. And then they boast of providing best security a… https://t.co/Ktrz3c9DJN,2019-04-28 00:55:54,-122.035311, 37.193164,0,Highly Positive,0.5
122,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:55:54,,,2197,Positive,0.48
123,"RT @narendramodi: Thank you Kannauj and Hardoi for the unparalleled warmth. 

The first three phases have made SP, BSP and Congress very ne…",2019-04-28 00:55:44,,,2910,Positive,0.23
124,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:55:41,,,2197,Positive,0.48
125,@IndianExpress one of the chief achievement of the bjp!,2019-04-28 00:55:39,,,0,Neutral,0.0
126,"RT @saahilmenghani: Since 2014, I've filed over 50 stories on farmers from Haryana, UP, Madhya Pradesh, Jammu &amp; Kashmir, Chhattisgarh, Raja…",2019-04-28 00:55:35,,,80,Neutral,0.0
127,"RT @zainabsikander: - @RahulGandhi ji
@ashokgehlot51 ji
@SachinPilot ji
So Muslims get beaten up and killed under BJP in Rajasthan.
And Mus…",2019-04-28 00:55:34,,,1123,Negative,-0.2
128,"@HardeepSPuri
n U.P, BJP govt has seen that builders, through whom BSP &amp; SP govts had looted NOIDA, continue to enj… https://t.co/KLMbq2pNsO",2019-04-28 00:55:31,76.84252, 28.397657,0,Neutral,0.0
129,RT @AnilNPillai32: True.If CPM not made mistake n Kerala(sir I predicted September 28th tagged u CPM will make mistake&amp;humbly suggested 2 u…,2019-04-28 00:55:24,,,0,Neutral,0.0
130,RT @smarket: There is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then- 1. Yashwa…,2019-04-28 00:55:23,,,1817,Neutral,0.0
131,"RT @KoomarShah: Vajpayee made fun of Soniaji &amp; taunted @INCIndia Whose your Leader? Soniaji won

Modi made fun of @RahulGandhi &amp; made IT Ce…",2019-04-28 00:55:17,,,161,Positive,0.3
132,"RT @TabeenahAnjum: #LokSabhaElections2019 

#Rajasthan 

Show of strength by @BJP4India in #Jodhpur where, BJP chief @AmitShah , former CM…",2019-04-28 00:55:04,,,38,Neutral,0.0
133,"RT @PMuralidharRao: It is BJP all the way in Rajasthan!
Along with National President Sh @AmitShah ji, participated in a massive road show…",2019-04-28 00:55:01,,,129,Neutral,0.0
134,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:54:59,,,2197,Positive,0.48
135,RT @BJP4India: Seven veteran officers join BJP in the presence of Smt. @nsitharaman at BJP HQ in New Delhi. #ModiAaneWalaHai https://t.co/h…,2019-04-28 00:54:52,,,810,Positive,0.07
